filename,category,tags,description,permalink,year
NGP-K1180.jpg,,,"V, Archanděl Gabriel ze Zvěstování Panně Marii, 1725, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_1180,1725
NGP-K1287.jpg,,,"K, Umučení sv. Vavřince, 1650, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_1287,1650
NGP-K1341.jpg,,,"F, Náčrt k obrazu Návrat sv. Vojtěcha do vlasti, 1823 - 1824, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_1341,1823
NGP-K13941.jpg,,,"J, Venuše raněná Diomédem, 1844, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_13941,1844
NGP-K1554.jpg,,,"F, Sv. Cecilie, studie, 1838 - 1839, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_1554,1838
NGP-K31762.jpg,,,"F, Tobiášův návrat, studie, 1825, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_31762,1825
NGP-K36311.jpg,,,"F, Bůh Otec, 1818, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_36311,1818
NGP-K37086.jpg,,,"I, Fontána s putti a baziliškem, 1760, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_37086,1760
NGP-K37087.jpg,,,"I, Fontána s putti a hadem, 1760, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_37087,1760
NGP-K37088.jpg,,,"I, Fontána s putti a rybou, 1760, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_37088,1760
NGP-K37196.jpg,,,"I, Nanebevzetí Panny Marie, 1768, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_37196,1768
NGP-K383.jpg,,,"F, Hlava dívky vzhlížející nahoru, studie k obrazu Ježíšek s anděly, 1820, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_383,1820
NGP-K4176.jpg,,,"F, Chronos, 1815, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4176,1815
NGP-K4395.jpg,,,"F, List v náčrtníku C - krajina a studie podle různých předloh - mj. Guercinova obrazu Sybila Samoská, 1817, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4395,1817
NGP-K4396.jpg,,,"F, List v náčrtníku C - studie tří ženských postav podle antických předloh a studie Európy na býku, 1817, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4396,1817
NGP-K4397.jpg,,,"F, List v náčrtníku C - studie ženských postav s draperií, 1818, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4397,1818
NGP-K4404.jpg,,,"F, List v náčrtníku C - dvě studie širokolisté rostliny, 1818, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4404,1818
NGP-K4408.jpg,,,"F, List v náčrtníku C - studie podle Raffaela. Ženská postava podle fresky v St. Maria della Pace v Římě, putto podle fresky Triumf Galathey ve vile Farnesina v Římě, 1818, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4408,1818
NGP-K4419.jpg,,,"F, List v náčrtníku C - postava mnicha a studie orla k obrazu Jupiter Tonans, 1823, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4419,1823
NGP-K4425.jpg,,,"F, List v náčrtníku C - studie nohou ke kresbě Kain a Abel obětující, 1818, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4425,1818
NGP-K4426.jpg,,,"F, List v náčrtníku C - studie svalů na pravé noze - ke kresbě Kain a Abel obětující, 1818, Národní galerie v Praze",http://sbirky.ngprague.cz/dielo/CZE:NG.K_4426,1818
